編號	名稱	分類	子分類	會長頭銜	會長姓名	成立日期	電話	核准立案字號	會址
169	台灣省工礦安全衛生技師公會	職業團體	(省級自由職業團體)	理事長	黃保順  先生	87/02/08	03-4930034		桃園縣中壢市中央西路二段一六八號二樓
170	台灣省不動產仲介經紀商業同業公會聯合會	職業團體	(省級商業團體)	理事長	丁大海  先生	80/07/04	04-2323-7575		台中市南屯區大墩十四街167號9樓
171	台灣省中藥商業同業公會聯合會	職業團體	(省級商業團體)	理事長	陳仲賢  先生	37/04/30	02-25589020		台北市大同區塔城街39號8樓
172	台灣省五金商業同業公會聯合會	職業團體	(省級商業團體)	理事長	賴德客  	50/02/25	03-4517722		台中市市府路39號6樓之4
173	台灣省公共汽車客運商業同業公會聯合會	職業團體	(省級商業團體)	理事長	蔡佳宏  先生	56/11/01	02-23714213		臺北市信陽街1號3樓
174	台灣省化工原料商業同業公會聯合會	職業團體	(省級商業團體)	理事長	翁金維  	76/06/25	047-525415		彰化市彰草路394巷58號
175	台灣省日用雜貨商業同業公會聯合會	職業團體	(省級商業團體)	理事長	李慶倉  先生	53/07/20	04-22235480		40357台中市柳川西路2段193巷2號
176	台灣省木材商業同業公會聯合會	職業團體	(省級商業團體)	理事長	黃文龍  先生	98/07/17	02-22675560	內授中社字第0980014405號	新北市土城中山路10號
177	台灣省水土保持技師公會	職業團體	(省級自由職業團體)	理事長	王冬成  先生	84/08/08	02-8258-1918		台北縣板橋市文化路二段182巷3弄52號2樓
178	台灣省水利技師公會   (解散)	職業團體	(省級自由職業團體)	理事長	周文祥  先生	76/12/14	02-27039180	省社二自字第019號	台北縣汐止市新台五路1段81號10樓之4
179	台灣省加油站商業同業公會聯合會	職業團體	(省級商業團體)	理事長	陳國丞  先生	79/07/12	04-26323669		台中市沙鹿區中棲路6之6號
180	台灣省布商業同業公會聯合會	職業團體	(省級商業團體)	理事長	廖育晟  先生	66/03/31	04-22277747		台中市中區三民路二段145號5樓之5
181	台灣省皮革製品商業同業公會聯合會	職業團體	(省級商業團體)	理事長	張必慶  先生				嘉義市文化路79號3樓
182	台灣省石油商業同業公會聯合會	職業團體	(省級商業團體)	理事長	徐榮發  先生	53/01/30	08-7324737		屏東縣東市自由路189號
183	台灣省冰果飲品商業同業公會聯合會	職業團體	(省級商業團體)	理事長	陳昌貴  先生	79/01/15	03-5503669		新竹縣竹北市嘉興路235號
184	台灣省印刷商業同業公會聯合會	職業團體	(省級商業團體)	理事長	廖萬來  先生	53/05/20	04-25245265		台中市豐原區中山路252號
185	台灣省地工程技師公會	職業團體	(省級自由職業團體)		  	85/08/16	02-27820022		台北市南港區成功區一段32號4樓之8
186	台灣省米谷商業同業公會聯合會	職業團體	(省級商業團體)	理事長	吳源昌  先生	46/12/02	02-29867375		台北縣三重市中正北路18號4樓之9
187	台灣省自行車商業同業公會聯合會	職業團體	(省級商業團體)	理事長	高清江  先生	38/06/16	04-23727927		台中市西區自由路一段46號
188	台灣省西藥商業同業公會聯合會	職業團體	(省級商業團體)	理事長	許素貞  女士	35/11/25	04-23756949		台中市三民路一段127巷28號
189	台灣省冷凍空調技師公會	職業團體	(省級自由職業團體)	理事長	張中和  先生	82/05/01	(02)2703-0547		台北市大安區(10684)信義路四段25號6樓之2
190	台灣省助聽器商業同業公會聯合會	職業團體	(省級商業團體)	理事長	王淞江  先生				
191	台灣省汽車材料商業同業公會聯合會	職業團體	(省級商業團體)	理事長	陳進法  	77/08/28	03-3320409		桃園市朝陽街47號5樓之3
192	台灣省汽車保養商業同業公會聯合會	職業團體	(省級商業團體)	理事長	王煥宗  先生	75/05/07	(03)5250624		新竹市西大路599巷2弄8號
193	台灣省汽車商業同業公會聯合會	職業團體	(省級商業團體)	理事長	梁郁哲  先生	78/09/09	04-25322591		台中市潭子區中山路2段123號
194	台灣省汽車貨運商業同業公會聯合會	職業團體	(省級商業團體)	理事長	張傳炉  先生	48/08/17	02-27556498		台北市信義路三段162號之30號(七樓)
195	台灣省汽車貨櫃貨運商業同業公會聯合會	職業團體	(省級商業團體)	理事長	鄭榮勳  先生	78/09/01	02-23702103		台北市忠孝西路1段41號13樓之11
196	台灣省汽車路線貨運商業同業公會聯合會	職業團體	(省級商業團體)	理事長	李正義  先生	70/07/08	02-2983-0040		台北縣三重市中正北路61號3樓
197	台灣省汽車輪胎商業同業公會聯合會	職業團體	(省級商業團體)	理事長	康金條  先生	92/07/20	04-22608023		台中市南區福新街110號
198	台灣省男子理燙髮商業同業公會聯合會	職業團體	(省級商業團體)	理事長	張玉香  女士	68/04/02	04-7225202		彰化縣城中北街14號
199	台灣省豆腐商業同業公會聯合會	職業團體	(省級商業團體)	理事長	詹武雄  先生	44/08/25	02-25589633		台北市大同區太原路133巷9號
200	台灣省物理治療生公會   (解散)	職業團體	(省級自由職業團體)	理事長	金黛惠  女士	87/12/20	06-2347346		70166台南市東區小東路356號
201	台灣省物理治療師公會   (解散)	職業團體	(省級自由職業團體)	理事長	范政弘  先生	86/11/09	06-2092500		70141台南市東區林森路一段149號3樓之5
202	台灣省青果商業同業公會聯合會	職業團體	(省級商業團體)	理事長	林賴玉英  女士	77/05/17	03-4934176		桃園縣中壢市五穀街72號
203	台灣省保全商業同業公會聯合會	職業團體	(省級商業團體)	理事長	江清永  先生	97/11/13	04-23121010		台中市漢口路一段54號3樓
204	台灣省室內設計裝修商業同業公會聯合會	職業團體	(省級商業團體)	理事長	羅清源  先生	80/06/25	04-22605159		台中市豐原區成功路157號4樓
205	台灣省建築材料商業同業公會聯合會	職業團體	(省級商業團體)	理事長	吳金成  先生	46/04/15	02-27518834		10556臺北市八德路2段374號7樓4室
206	台灣省建築師公會	職業團體	(省級自由職業團體)	理事長	林大森  先生	61/10/21	04-23160922		台中市台中港路一段400號11樓
207	台灣省洗衣商業同業公會聯合會	職業團體	(省級商業團體)	理事長	張裕隆  先生	57/01/07	05-2386969		嘉義市民生南路169號
208	台灣省玻璃商業同業公會聯合會	職業團體	(省級商業團體)	理事長	呂益成  先生		04-25231464		豐原市中山路252號2樓
209	台灣省砂石商業同業公會聯合會	職業團體	(省級商業團體)	理事長	林光陽  先生	69/03/23	039-551180		宜蘭縣羅東鎮興東路204號
210	台灣省計程車客運商業同業公會聯合會	職業團體	(省級商業團體)		  	63/12/12	02-29522355		台北縣板橋市重慶路226巷1弄1號1樓
211	台灣省食油商業同業公會聯合會	職業團體	(省級商業團體)	理事長	張松茂  先生	65/10/05	04-7299323		50041彰化市城中北街11號
212	台灣省家具商業同業公會聯合會	職業團體	(省級商業團體)	理事長	林健民  先生	62/10/04	02-26433528		221-61台北縣汐止市大同路一段497號
213	台灣省家畜肉類商業同業公會聯合會	職業團體	(省級商業團體)	理事長	蔡人才  先生	47/02/06	04-22809388		台中市東區建興路44號
214	台灣省家禽孵化商業同業公會聯合會	職業團體	(省級商業團體)	理事長	顏瑞進  先生	69/03/07	04-8934480		台中縣神岡鄉神清路107號
215	台灣省旅行商業同業公會聯合會	職業團體	(省級商業團體)	理事長	蕭博仁  先生	82/12/03	06-2410-879		嘉義市山仔頂269之1號
216	台灣省旅館商業同業公會聯合會	職業團體	(省級商業團體)	理事長	劉瑞欉  先生	38/02/22	03-9569066		26550宜蘭縣羅東鎮公正路60號
217	台灣省病媒防治商業同業公會聯合會	職業團體	(省級商業團體)	理事長	吳肯源  先生	93/12/25	06-2585618		台南市文賢路799巷57弄3號
218	台灣省紙器商業同業公會聯合會	職業團體	(省級商業團體)	理事長	周榮顯  先生	84/03/16	04-25262013		台中市豐原區成功路622號6樓
219	台灣省茶商業同業公會聯合會	職業團體	(省級商業團體)	理事長	游濟民  先生	94/06/22	04-23715567		台中市西區三民路1段151號3樓
220	台灣省酒類商業同業公會聯合會	職業團體	(省級商業團體)	理事長	羅天長  先生	99/05/28	04-23820136	0990005649	台中市南屯區嶺東路801之2號
221	台灣省高壓氣體商業同業公會聯合會	職業團體	(省級商業團體)	理事長	陸振佑  先生	82/04/16	04-25283055		台中市豐原區中山路252號
222	台灣省商業會	職業團體	(省級商業團體)	理事長	張榮味  先生	35/09/16	(02)2536-5455		台北市中山區松江路168號13樓
223	台灣省國內輪船商業同業公會聯合會	職業團體	(省級商業團體)	理事長	張玉章  先生	40/05/12	(07)533-3448		高雄市鹽埕區必信街116號4樓之2
224	台灣省教育會	職業團體	(省級自由職業團體)	理事長	李建興  先生	35/06/16	02-2351-9671		台北市青島東路51號2樓
225	台灣省液化氣體燃料商業同業公會聯合會	職業團體	(省級商業團體)	理事長	林添福  先生	69/08/06	049-2222333		南投市藍田街131號
226	台灣省清潔服務商業同業公會聯合會	職業團體	(省級商業團體)	理事長	林享政  先生	90/02/23	(03)437-8137		桃園縣中壢市新中北路239號2樓
227	台灣省烹飪商業同業公會聯合會	職業團體	(省級商業團體)	理事長	劉威宜  先生	46/08/03	04-24737766		南投市民權街24號
228	台灣省船務代理商業同業公會聯合會	職業團體	(省級商業團體)	理事長	林正義  先生	78/11/24	02-24222322		基隆市港西街16號2樓
229	台灣省都市計畫技師公會	職業團體	(省級自由職業團體)	理事長	古昌杰  先生	83/05/28	04-22585380		台中市南屯區惠中路三段10號7樓
230	台灣省魚類商業同業公會聯合會	職業團體	(省級商業團體)	理事長	蔡友年  先生	54/07/27	02-24623181		202基隆市中正路391號111室
231	台灣省景觀工程商業同業公會聯合會	職業團體	(省級商業團體)	理事長	林傳貴  先生	92/02/12	03-4711377		桃園縣龍潭鄉安村文化路983號
232	台灣省植物保護商業同業公會聯合會	職業團體	(省級商業團體)	理事長	謝振松  先生	80/01/23	07-6969589		高雄市路竹區復興路207號
233	台灣省測量技師公會	職業團體	(省級自由職業團體)	理事長	江俊泓  先生	89/07/01	04-22372480		台中市北區進化北路238號10樓之1
234	台灣省結構工程技師公會	職業團體	(省級自由職業團體)	理事長	藍朝卿  先生	83/11/29	02-22547419		台北縣板橋市文化路一段266號21樓之2
235	台灣省進出口商業同業公會聯合會	職業團體	(省級商業團體)	理事長	張燈河  先生	42/09/12	02-27731155		台北市中山區復興北路2號14樓B座
236	台灣省園藝花卉商業同業公會聯合會	職業團體	(省級商業團體)	理事長	林孝澤  先生	84/04/30	04-8830432		彰化縣溪州鄉苗專二路251號
237	台灣省塑膠製品商業同業公會聯合會	職業團體	(省級商業團體)	理事長	范佐達  先生	73/12/21	04-8925107		彰化縣埤頭鄉興工路18號
238	台灣省塗料油漆商業同業公會聯合會	職業團體	(省級商業團體)	理事長	賴正庭  先生	71/04/29	04-24755939		408 台中市向上南路一段162-6號
239	台灣省會計師公會	職業團體	(省級自由職業團體)	理事長	劉昇昌  先生	39/06/15	02-23925077	八五社二字第11950號	台北市中正區南海路1號9樓之1
240	台灣省當舖商業同業公會聯合會	職業團體	(省級商業團體)	理事長	蕭世芳  先生	55/05/25	06-2681864		台南市中華東路3段337號
241	台灣省葬儀商業同業公會聯合會	職業團體	(省級商業團體)	理事長	許永和  先生	90/10/28	02-2251-4438		新竹市北區成德二街40號
242	台灣省裝潢材料商業同業公會聯合會	職業團體	(省級商業團體)	理事長	林瑞宗  先生	79/09/05	03-5220292		彰化縣芬園鄉社口村芬草路2段295號
243	台灣省遊藝場商業同業公會聯合會	職業團體	(省級商業團體)	理事長	楊晚得  先生	87/08/28	02-2974-1049		新北市三重區集成路17號3樓
244	台灣省遊覽車客運商業同業公會聯合會	職業團體	(省級商業團體)	理事長	王魯泉  先生	63/12/12	02-23611091		100台北市愛國西路9號5樓之9
245	台灣省電腦商業同業公會聯合會	職業團體	(省級商業團體)	理事長	謝尚彬  先生	78/01/09	04-8958585		彰化縣二林鎮北平里新生路１５５號2樓
246	台灣省電影戲劇商業同業公會聯合會	職業團體	(省級商業團體)	理事長	尤博生  先生	39/03/01	(02)2312-1177		台北市中華路一段196號8樓
247	台灣省電器商業同業公會聯合會	職業團體	(省級商業團體)	理事長	郭添仁  先生	38/04/01	04-22315068		台中市北區德化街271巷12號4樓
248	台灣省電機技師公會   (解散)	職業團體	(省級自由職業團體)	理事長	簡民濂  先生	74/03/23	04-23275085		台中市西區華美街408號4樓
249	台灣省圖書教育用品商業同業公會聯合會	職業團體	(省級商業團體)	理事長	陳鏗爾  先生	50/08/06	03-5726370		新竹市千甲路120號
250	台灣省製麵商業同業公會聯合會	職業團體	(省級商業團體)	理事長	劉元順  先生	66/03/31	03-3370750		桃園市中華路89號3樓
251	台灣省銀行商業同業公會聯合會	職業團體	(省級商業團體)	理事長	張明道  先生		02-29690555		台北縣板橋市府中路21號
252	台灣省廢棄物清除處理商業同業公會聯合會	職業團體	(省級商業團體)	理事長	林士聖  先生	86/11/25	04-7321-175		彰化市台鳳里一心南街326巷14號
253	台灣省廚具商業同業公會聯合會	職業團體	(省級商業團體)	理事長	許文楨  先生	91/06/08	03-3224116		花蓮是主力里林森路36號
254	台灣省廣告工程商業同業公會聯合會	職業團體	(省級商業團體)	理事長	陳炳輝  先生	81/09/23	089-334935		台東縣台東市傳廣路113號2樓
255	台灣省影音節目發行商業同業公會聯合會	職業團體	(省級商業團體)	理事長	許明良  先生	96/10/16	04-7255-811		彰化市城中北街14號2樓
256	台灣省蔬菜商業同業公會聯合會	職業團體	(省級商業團體)	理事長	呂清吉  先生	86/03/24	02-24315897		基隆市安樂區麥金路127巷8號
257	台灣省橡膠製品商業同業公會聯合會	職業團體	(省級商業團體)	理事長	吳進財  	71/06/18	04-22608023		台中市南區福新街110號
258	台灣省機車商業同業公會聯合會	職業團體	(省級商業團體)	理事長	詹金生  先生	58/04/30	04-22206552		台中市中區三民路二段145號5樓之5
259	台灣省機械技師公會	職業團體	(省級自由職業團體)	理事長	陳英本  先生	84/11/18	06-3313011		台南市東區裕孝路318號
260	台灣省機器商業同業公會聯合會	職業團體	(省級商業團體)	理事長	涂錦榮  先生	76/08/15	02-24255102		基隆市中正區中正路34號九樓之3
261	台灣省磚瓦商業同業公會聯合會	職業團體	(省級商業團體)	理事長	劉東元  先生	72/03/30	037-744115		台灣省磚瓦商業同業公會聯合會
262	台灣省糕餅商業同業公會聯合會	職業團體	(省級商業團體)	理事長	陳正章  先生	37/05/26	02-23314741		108 台北市昆明街96巷6號2樓
263	台灣省餐盒食品商業同業公會聯合會	職業團體	(省級商業團體)	理事長	李均平  	85/06/28	02-29066988		新北市新莊區中正路566號
264	台灣省應用地質技師公會	職業團體	(省級自由職業團體)	理事長	林政德  先生	83/09/15	(02)2709-3335		台北市中山區長春路368號 4樓之1
265	台灣省營建剩餘土石方資源處理商業同業公會	職業團體	(省級商業團體)	理事長	陳顯章  先生	93/02/26	04-22587158		台中市西屯區龍門路127號
266	台灣省環境工程技師公會	職業團體	(省級自由職業團體)	理事長	楊基振  先生	76/12/05	02-25550353		台北市長安西路342號4樓之1
267	台灣省職能治療師公會   (解散)	職業團體	(省級自由職業團體)	理事長	楊國得  先生	88/09/19	04-22393962		台中市北屯區太原路三段1142號
268	台灣省醫事檢驗生公會	職業團體	(省級自由職業團體)	理事長	張春榮  先生	74/09/01	04-22076257		宜蘭縣蘇澳鎮成功路9號
269	台灣省醬類商業同業公會聯合會	職業團體	(省級商業團體)	理事長	楊奕焜  先生	44/11/05	04-7200861		彰化市中山路2段624巷26-3號
270	台灣省雜糧商業同業公會聯合會	職業團體	(省級商業團體)	理事長	鄭志宏  先生	42/09/10	02-25527060		103台北市長安西路342號10樓-1
271	台灣省獸醫師公會	職業團體	(省級自由職業團體)	理事長	郭丑哲  先生	58/10/28	03-3326742		桃園縣桃園市縣府路57號
272	台灣省藥品調製商業同業公會聯合會	職業團體	(省級商業團體)	理事長	王松鎰  先生	49/08/06	04-23756949		彰化縣福興鄉外中村外中街382號
273	台灣省藥師公會   (解散)	職業團體	(省級自由職業團體)	理事長	陳進益  先生	37/04/15	02-25953856		台北市民權東路一段六十七號五樓
274	台灣省藥劑生公會   (解散)	職業團體	(省級自由職業團體)	理事長	黃共集  先生	43/04/28	04-22243742		台中市中山路175巷14號
275	台灣省鐘錶眼鏡商業同業公會聯合會	職業團體	(省級商業團體)		  	48/12/25	03-5248188		新竹市中山路209號
276	台灣省護理師護士公會   (解散)	職業團體	(省級自由職業團體)	理事長	劉麗芳  女士	38/04/05	04-22271420		台中市三民路一段191號8樓之2
277	台灣省鐵路承覽運送商業同業公會聯合會	職業團體	(省級商業團體)	理事長	陳柳豊  先生	38/01/31	02-23926152		台北市中正區北平東路24號5樓之2
278	台灣省鑲牙生公會	職業團體	(省級自由職業團體)	理事長	王龍雄  先生	48/03/27	03-5281997		新竹市中和路91號
279	台灣科學工業園區科學工業同業公會	職業團體	(台灣科學工業園區工業團體)	理事長	沈國榮  先生	72/09/08	03-5775996		30078 新竹科學工業園區展業一路2號
280	台灣區人造奶油工業同業公會	職業團體	(台灣區工業團體)	理事長	陳正文  先生	66/05/21	(02)23415231		台北市大安區復興南路一段390號9樓
281	台灣區人造纖維加工絲工業同業公會〈合併至人造纖維製造公會〉   (解散)	職業團體	(台灣區工業團體)	理事長	劉秋湖  先生	56/04/28	(02)2391-3701		臺北市愛國東路22號12樓(紡拓大樓)
282	台灣區土石採取業同業公會	職業團體	(台灣區礦業團體)	理事長	蔡易霖  先生	94/07/14	039-551180		宜蘭縣羅東鎮興東路204號
283	台灣區大麥製品工業同業公會	職業團體	(台灣區工業團體)	理事長	賴憲德  先生	61/06/22	(02)227198285		105台北市南京東路4段21號6樓之一
284	台灣區工具機暨零組件工業同業公會	職業團體	(台灣區工業團體)	理事長	卓永財  先生	96/10/05	04-23507586		台中市工業區37路27號3樓
285	台灣區不銹鋼餐具製造輸出業同業公會	職業團體	(台灣區輸出業團體)	理事長	陳弘聖  先生	59/04/19	03-2123843		桃園縣蘆竹鄉南崁路1段83號6樓之5
286	台灣區不織布工業同業公會	職業團體	(台灣區工業團體)	理事長	邱正中  先生	67/03/18	02-25580516		台北市中山區南京西路30號5樓
287	台灣區中藥工業同業公會	職業團體	(台灣區工業團體)	理事長	張朝霖  先生	83/03/04	04-7281889		彰化市城中北街11號
288	台灣區手提包輸出業同業公會	職業團體	(台灣區輸出業團體)	理事長	謝明振  先生	67/04/27	02-)2392-5305		100台北市中正區愛國東路22號12樓
289	台灣區木工機器工業同業公會	職業團體	(台灣區工業團體)	理事長	柏時聰  先生	92/11/21	04-25250229		台中縣豐原市信義街155號7F-2
290	台灣區木材輸出業同業公會	職業團體	(台灣區輸出業團體)	理事長	許庚龍  先生	56/04/07	02-89116575		新北市新店區北新路1段135號4樓
291	台灣區毛衣編織工業同業公會	職業團體	(台灣區工業團體)	理事長	陳世昌  先生	62/08/30	02-2394-5216	555936	臺北市愛國東路22號9樓之1
292	台灣區毛紡織工業同業公會	職業團體	(台灣區工業團體)	理事長	吳正宗  先生	42/03/22	(02)23913544		100台北市愛國東路二十二號六樓
293	台灣區水泥工業同業公會	職業團體	(台灣區工業團體)	理事長	張安平  先生	37/04/19	02-27015733		台北市復興南路一段390號8樓之5
294	台灣區水管工程工業同業公會	職業團體	(台灣區工業團體)	理事長	吳鉛煌  先生	52/02/01	02-25072322		台北市中山區伊通街59巷6號1樓
295	台灣區台灣區紙器工業同業公會	職業團體	(台灣區工業團體)	理事長	陳秉和  先生	54/12/09	02-29599394		板橋市民生路1段33號10樓1
296	台灣區玉米類製品工業同業公會	職業團體	(台灣區工業團體)	理事長	林鑫堯  先生	63/07/26	02-23717702		台北市中正區館前路42號2樓
297	台灣區瓦斯器材工業同業公會	職業團體	(台灣區工業團體)	理事長	侯振寬  先生	61/11/03	02-26091185		台北縣林口鄉忠孝路658號
298	台灣區用電設備檢驗維護工程工業同業公會	職業團體	(台灣區工業團體)	理事長	黃慶林  先生	77/03/09	02-23076660		台北市中正區重慶南路3段42號2樓
299	台灣區皮革工業同業公會	職業團體	(台灣區工業團體)	理事長	白志祥  先生	56/07/01	02-25677335		台北市中山區南京西路5-1號6樓之1
300	台灣區皮革製品工業同業公會	職業團體	(台灣區工業團體)	理事長	宋立文  先生	46/06/20	02-8285-7415		新北市五股區凌雲路3段26號之23
301	台灣區石礦業同業公會	職業團體	(台灣區礦業團體)	理事長	呂克甫  先生		2393-5337		台北市林森南路8巷6號2樓
302	台灣區石礦製品工業同業公會	職業團體	(台灣區工業團體)	理事長	林高榮  先生	75/08/26	038-423099		花蓮縣吉安鄉南濱路1段534號5樓
303	台灣區光學工業同業公會	職業團體	(台灣區工業團體)	理事長	李源泉  先生	77/04/16	04-25658010		台中市大雅區中科路6號9樓903、905室（中科工商服務大樓）
304	台灣區合成皮工業同業公會	職業團體	(台灣區工業團體)	理事長	蔡光爵  先生	64/06/25	02-2559-0204		台北市南京西路30號5樓
305	台灣區合成樹脂接著劑工業同業公會	職業團體	(台灣區工業團體)	理事長	黃河清  先生	78/02/17	02-2999-8788		北縣三重市重新路五段609巷14號3樓之6
306	台灣區合板製造輸出業同業公會	職業團體	(台灣區輸出業團體)	理事長	林宸慶  先生	51/11/27	07-3927356		807高雄市三民區九如一路805號9樓
307	台灣區地毯工業同業公會	職業團體	(台灣區工業團體)	理事長	陳世武  先生	57/09/27	(02)2931-3427		嘉義縣朴子市大葛里152-302號
308	台灣區米穀工業同業公會	職業團體	(台灣區工業團體)	理事長	林清棻  先生	78/12/20	02-27121133		台北市南京東路三段303巷六弄1-2號四樓C室
309	台灣區羽毛輸出業同業公會	職業團體	(台灣區輸出業團體)	理事長	陳焜耀  先生	42/09/01	02-7701.6966		台北市民權東路3段58號12樓
310	台灣區自行車輸出業同業公會	職業團體	(台灣區輸出業團體)	理事長	羅祥安  先生	81/12/21	(02)27393311		110 台北市基隆路2段189號5樓
311	台灣區冷凍水產工業同業公會	職業團體	(台灣區工業團體)	理事長	蔡俊雄  先生	65/07/28	07-2411894		高雄市前金區中正四路103號8樓之6
312	台灣區冷凍水產品輸出業同業公會	職業團體	(台灣區輸出業團體)	理事長	謝文欽  先生	57/12/10	02-27657157		臺北市永吉路30巷29號3樓
313	台灣區冷凍肉類工業同業公會	職業團體	(台灣區工業團體)	理事長	陳國訓  先生	63/06/15	(02)2393-2306		台北市大安區金山南路二段18號12樓
314	台灣區冷凍空調工程工業同業公會	職業團體	(台灣區工業團體)	理事長	丁木胤  先生	67/01/12	02-27685423		台北市松山區民生東路五段137巷2號2樓
315	台灣區冷凍食品工業同業公會	職業團體	(台灣區工業團體)	理事長	何宗保  先生		07-2412053		高雄市新興區五福二路147-11號
316	台灣區冷凍蔬果工業同業公會	職業團體	(台灣區工業團體)	理事長	蔡敬虔  先生	63/07/01	(07)2015694		高雄市前金區中正四路103號11樓之1
317	台灣區汽車修理工業同業公會	職業團體	(台灣區工業團體)	理事長	林永清  先生	64/11/24	(02)2596-4217	663981	台北市中山區民權西路27號11樓之2
318	台灣區車體工業同業公會	職業團體	(台灣區工業團體)	理事長	吳進平  先生	90/06/17	06-2500761		台南市中華北路1段386號
319	台灣區乳品工業同業公會	職業團體	(台灣區工業團體)	理事長	楊文隆  先生	68/02/14	02-25318499		104台北市長安東路一段27號4樓
320	台灣區玩具暨兒童用品工業同業公會	職業團體	(台灣區工業團體)	理事長	陳國棟  先生	56/12/02	02-25711264		台北市中山區民生東路一段四二號六樓
321	台灣區花卉輸出業同業公會	職業團體	(台灣區輸出業團體)	理事長	劉月紅  女士	70/04/22	02-23313146		10041台北市忠孝西路1段41號13樓之4
322	台灣區表面處理工業同業公會	職業團體	(台灣區工業團體)	理事長	蔡英標  先生	77/01/28	(02)2777-3610		台北市中山區長安東路二段162號7樓B4
323	台灣區金銀珠寶飾品輸出同業公會	職業團體	(台灣區輸出業團體)	理事長	陳獻門  先生	67/11/25	02-28811177		台北市士林區大北路98號
324	台灣區金屬品冶製工業同業公會	職業團體	(台灣區工業團體)	理事長	張慶修  先生	36/08/15	02-23115650	142	台北市中正區漢口街1段77-1號3樓
325	台灣區金屬資源再生工業同業公會	職業團體	(台灣區工業團體)	理事長	洪瑞峯  先生	74/11/09	07-787-1164		高雄縣大寮鄉大發工業區建民路18號
326	台灣區流體傳動工業同業公會	職業團體	(台灣區工業團體)	理事長	王世忠  先生	79/06/22	02-2723-3768		臺北市信義區信義路五段五號4E-01室
327	台灣區紅糖工業同業公會	職業團體	(台灣區工業團體)	理事長	鄭新錦  先生	35/07/16	02-25554360		台北市長安西路252號2樓
328	台灣區耐火材料工業同業工會	職業團體	(台灣區工業團體)	理事長	王俊登  先生	67/03/28	02-26223681		台北縣淡水鎮水源里鄒厝崙1-11號
329	台灣區食品暨製藥機械工業同業公會	職業團體	(台灣區工業團體)	理事長	歐陽禹  先生	84/04/07	02-27230036		台北市信義路五段5號4A-04室
330	台灣區家具工業同業公會	職業團體	(台灣區工業團體)	理事長	簡國徽  先生	62/09/10	02-27058316		106北市復興南路1段249號6樓
331	台灣區氣體管工程工業同業公會	職業團體	(台灣區工業團體)	理事長	陳永釧  先生		(02)2506-6446		台北市中山區伊通街59巷6號3樓
332	台灣區消防器材工業同業公會	職業團體	(台灣區工業團體)	理事長	吳文進  先生	66/07/18	(02)2301-7423		台北市中華路二段459之一號三樓
333	台灣區珠寶工業同業公會	職業團體	(台灣區工業團體)	理事長	洪明麗  女士	69/05/15	02-25862232		台北市林森北路609號4樓
334	台灣區紡紗工業同業公會	職業團體	(台灣區工業團體)	理事長	陳俊茂  先生	94/08/24	02-23916445		台北市中正區愛國東路22號11樓
335	台灣區航太工業同業公會	職業團體	(台灣區工業團體)	理事長	徐延年  先生	83/08/25	02-27230635		台北市110信義路5段5號4樓B07室
336	台灣區茶輸出業同業公會	職業團體	(台灣區輸出業團體)	理事長	王敏超  先生	40/10/09	2555-2962		台北市甘谷街24號6樓
337	台灣區高壓氣體工業同業公會	職業團體	(台灣區工業團體)	理事長	苗豐盛  先生	60/10/29	(02)27717333		台北市敦化南路1段102號3樓之3
338	台灣區教育用品工業同業公會	職業團體	(台灣區工業團體)	理事長	侯震育  先生	45/06/01	02-23882611		台北市重慶南路一段57號11樓之8
339	台灣區眼鏡工業同業公會	職業團體	(台灣區工業團體)	理事長	郭秋煌  先生	63/04/16	02-25061537		104台北市民權東路2段206號2樓
340	台灣區被服工業同業公會	職業團體	(台灣區工業團體)	理事長	潘元一  先生	41/04/12	02-2766-6661		台北市南京東路5段202號8樓-3
341	台灣區造紙工業同業公會	職業團體	(台灣區工業團體)	理事長	鄭瑛彬  先生	36/09/22	02-25776352		台北市八德路三段20號5樓A區
342	台灣區造船工業同業公會	職業團體	(台灣區工業團體)	理事長	賴杉桂  先生	56/07/01	(02)23122641	31694	台北市中華路一段16號9樓
343	台灣區帽子輸出業同業公會	職業團體	(台灣區輸出業團體)	理事長	呂瑞文  先生	44/10/28	02-2393-7892		台北市中正區愛國東路22號6樓
344	台灣區植物油製煉工業同業公會	職業團體	(台灣區工業團體)	理事長	洪堯昆  	42/04/24	02-25616351		台北市長安東路一段27號6樓
345	台灣區棉布印染整理工業同業公會	職業團體	(台灣區工業團體)	理事長	翁茂鍾  先生	44/09/09	02-23211095	262215	台北市中正區愛國東路22號12樓
346	台灣區絲綢印染整理工業同業公會	職業團體	(台灣區工業團體)	理事長	李肯堂  先生	45/03/25	02-23413201	503335	台北市中正區愛國東路22號12樓
347	台灣區絲織工業同業公會	職業團體	(台灣區工業團體)	理事長	戴宏怡  先生	42/12/09	02-23917815		台北市愛國東路22號6樓
348	台灣區視聽錄音工業同業公會	職業團體	(台灣區工業團體)	理事長	黃銘得  先生	94/08/15	02-27690823		台北市信義區松隆路3號9樓
349	台灣區飲用水設備工業同業公會	職業團體	(台灣區工業團體)	理事長	魏石定  先生	88/07/08	02-25850016		台北市民族西路219號
350	台灣區塑膠袋輸出業同業公會	職業團體	(台灣區輸出業團體)	理事長	高國勝  先生	63/03/27	04-23765577		台中市西區三民路一段151號3樓
